base_vehicle_id,model_name,sub_model_name
1,Aerio,S
1,Aerio,GS
1,Aerio,SX
1,Aerio,GS
1,Aerio,S
1,Aerio,SX
2,Aerio,S
2,Aerio,GS
2,Aerio,SX
2,Aerio,SX
2,Aerio,GS
2,Aerio,S
18058,Aerio,S
18058,Aerio,SX
18058,Aerio,LX
18058,Aerio,SX
18058,Aerio,S
18058,Aerio,LX
18532,Aerio,LX
18532,Aerio,S
18532,Aerio,SX
18532,Aerio,S
18532,Aerio,SX
18870,Aerio,Base
18870,Aerio,Premium
18870,Aerio,SX
18870,Aerio,SX Premium
18870,Aerio,GL
18870,Aerio,GLS
18870,Aerio,Base
18870,Aerio,Premium
23933,Aerio,Base
23933,Aerio,Premium
23933,Aerio,GL
23933,Aerio,GLS
23933,Aerio,Base
23933,Aerio,Premium
3,Esteem,GL
3,Esteem,GLX
3,Esteem,GLX Plus
3,Esteem,GL
3,Esteem,GLX
3,Esteem,GLX Plus
4,Esteem,GL
4,Esteem,GLX
4,Esteem,GLX Plus
4,Esteem,GL
4,Esteem,GLX
4,Esteem,GLX Plus
5,Esteem,GL
5,Esteem,GLX
5,Esteem,GLX Plus
5,Esteem,GL
5,Esteem,GLX
5,Esteem,GLX Plus
6,Esteem,GL
6,Esteem,GLX
6,Esteem,GLX Plus
6,Esteem,GL
6,Esteem,GLX
7,Esteem,GL
7,Esteem,GLX
7,Esteem,GLX Plus
7,Esteem,GL
7,Esteem,GLX
8,Esteem,GL
8,Esteem,GLX
8,Esteem,GLX Plus
8,Esteem,GLX
8,Esteem,GL
9,Esteem,GL
9,Esteem,GLX
9,Esteem,GLX Plus
9,Esteem,GL
9,Esteem,GLX
10,Esteem,GL
10,Esteem,GLX
10,Esteem,GLX Plus
10,Esteem,GL
10,Esteem,GLX
11,Grand Vitara,JS
11,Grand Vitara,JS Plus
11,Grand Vitara,JLX
11,Grand Vitara,JLX Plus
11,Grand Vitara,JS
11,Grand Vitara,JLX
12,Grand Vitara,JLS
12,Grand Vitara,JLS Plus
12,Grand Vitara,JLX
12,Grand Vitara,JLX Plus
12,Grand Vitara,Limited
12,Grand Vitara,Limited
12,Grand Vitara,JLX
12,Grand Vitara,JLS
13,Grand Vitara,JLS
13,Grand Vitara,JLS Plus
13,Grand Vitara,JLS Plus SE
13,Grand Vitara,JLX
13,Grand Vitara,JLX Plus
13,Grand Vitara,JLX Plus SE
13,Grand Vitara,Limited
13,Grand Vitara,XL-7
13,Grand Vitara,XL-7 Plus
13,Grand Vitara,XL-7 Touring
13,Grand Vitara,XL-7 Limited
13,Grand Vitara,JLX
13,Grand Vitara,XL-7
13,Grand Vitara,Limited
13,Grand Vitara,XL-7 Touring
13,Grand Vitara,JLS
14,Grand Vitara,JLS
14,Grand Vitara,JLX
14,Grand Vitara,Limited
14,Grand Vitara,JLX
14,Grand Vitara,JLS
14,Grand Vitara,Limited
15,Grand Vitara,Base
15,Grand Vitara,Base
18059,Grand Vitara,LX
18059,Grand Vitara,EX
18059,Grand Vitara,EX
18059,Grand Vitara,LX
18530,Grand Vitara,EX
18530,Grand Vitara,LX
18530,Grand Vitara,EX
18530,Grand Vitara,LX
18872,Grand Vitara,Base
18872,Grand Vitara,Luxury
18872,Grand Vitara,Premium
18872,Grand Vitara,XSport
18872,Grand Vitara,GL
18872,Grand Vitara,GLS
18872,Grand Vitara,Luxury
18872,Grand Vitara,Premium
18872,Grand Vitara,Base
18872,Grand Vitara,XSport
23935,Grand Vitara,Base
23935,Grand Vitara,Luxury
23935,Grand Vitara,XSport
23935,Grand Vitara,GL
23935,Grand Vitara,GLS
23935,Grand Vitara,SWT
23935,Grand Vitara,XSport
23935,Grand Vitara,Luxury
23935,Grand Vitara,Base
29040,Grand Vitara,XSport
29040,Grand Vitara,Luxury
29040,Grand Vitara,Base
29040,Grand Vitara,JA
29040,Grand Vitara,JX
29040,Grand Vitara,JLX
29040,Grand Vitara,GL
29040,Grand Vitara,GLS
29040,Grand Vitara,Limited
29040,Grand Vitara,SWT
30243,Grand Vitara,XSport
30243,Grand Vitara,Luxury
30243,Grand Vitara,Base
30243,Grand Vitara,Premium
30243,Grand Vitara,GL
30243,Grand Vitara,GLS
30243,Grand Vitara,JA
30243,Grand Vitara,JX
30243,Grand Vitara,JLX
96078,Grand Vitara,Base
96078,Grand Vitara,Limited
96078,Grand Vitara,Premium
96078,Grand Vitara,XSport
96078,Grand Vitara,JA
96078,Grand Vitara,JLX
96078,Grand Vitara,JX
96078,Grand Vitara,GL
96078,Grand Vitara,GLS
96896,Grand Vitara,Base
96896,Grand Vitara,Limited
96896,Grand Vitara,Premium
96896,Grand Vitara,JX
96896,Grand Vitara,JLX
96896,Grand Vitara,JLX-L
96896,Grand Vitara,GL
96896,Grand Vitara,GLS
118752,Grand Vitara,Base
118752,Grand Vitara,Limited
118752,Grand Vitara,Premium
118752,Grand Vitara,Ultimate Adventure Edition
118752,Grand Vitara,JX
118752,Grand Vitara,JLX
118752,Grand Vitara,JLX-L
118752,Grand Vitara,Urban
118752,Grand Vitara,Base
118752,Grand Vitara,GL
118752,Grand Vitara,GLS
118752,Grand Vitara,Himalaya
125054,Grand Vitara,GL
125054,Grand Vitara,GLS
125054,Grand Vitara,Base
125054,Grand Vitara,Limited
125054,Grand Vitara,Premium
125054,Grand Vitara,JX
125054,Grand Vitara,JLX
125054,Grand Vitara,Urban
125054,Grand Vitara,JLX-L
129782,Grand Vitara,GL
129782,Grand Vitara,GLS
131055,Grand Vitara,GL
131055,Grand Vitara,GLS
131055,Grand Vitara,Special
138334,Grand Vitara,GL
138334,Grand Vitara,GLS
138334,Grand Vitara,Special
141040,Grand Vitara,Special
141040,Grand Vitara,GLS
16,Samurai,JA
16,Samurai,JX
16,Samurai,JX SE
16,Samurai,JA
16,Samurai,JX
16,Samurai,JX SE
17,Samurai,JA
17,Samurai,JX
17,Samurai,JX SE
17,Samurai,JA
17,Samurai,JX
17,Samurai,JX SE
18,Samurai,JA
18,Samurai,JX
18,Samurai,JA
18,Samurai,JX
19,Samurai,Base
19,Samurai,Base
20,Samurai,JL
20,Samurai,JL
21,Samurai,JA
21,Samurai,JL
21,Samurai,JS
21,Samurai,JS
21,Samurai,JA
21,Samurai,JL
22,Samurai,JA
22,Samurai,JA
22,Samurai,JL
22,Samurai,JL
23,Samurai,JA
23,Samurai,JA
23,Samurai,JL
23,Samurai,JL
24,Samurai,JL
24,Samurai,JL
25,Samurai,JL
25,Samurai,JL
13220,Samurai,Base
26,Sidekick,JA
26,Sidekick,JX
26,Sidekick,JLX
26,Sidekick,JLX
26,Sidekick,JA
26,Sidekick,JX
27,Sidekick,JLX
27,Sidekick,JS
27,Sidekick,JX
27,Sidekick,JS
27,Sidekick,JLX
27,Sidekick,JX
27,Sidekick,Base
28,Sidekick,JL
28,Sidekick,JLX
28,Sidekick,JS
28,Sidekick,JX
28,Sidekick,JS
28,Sidekick,JLX
28,Sidekick,JX
28,Sidekick,JL
29,Sidekick,JLX
29,Sidekick,JS
29,Sidekick,JX
29,Sidekick,JS
29,Sidekick,JLX
29,Sidekick,JX
30,Sidekick,JLX
30,Sidekick,JS
30,Sidekick,JX
30,Sidekick,JS
30,Sidekick,JLX
30,Sidekick,JX
30,Sidekick,Base
31,Sidekick,JLX
31,Sidekick,JS
31,Sidekick,JX
31,Sidekick,JS
31,Sidekick,JLX
31,Sidekick,JX
32,Sidekick,JLX
32,Sidekick,JS
32,Sidekick,JX
32,Sidekick,JS
32,Sidekick,JLX
32,Sidekick,JX
33,Sidekick,JS
33,Sidekick,JX
33,Sidekick,JX Sport
33,Sidekick,JLX Sport
33,Sidekick,JS
33,Sidekick,JX
33,Sidekick,JX Sport
33,Sidekick,JLX Sport
33,Sidekick,JA
34,Sidekick,JS
34,Sidekick,JX
34,Sidekick,JX Sport
34,Sidekick,JLX Sport
34,Sidekick,JS
34,Sidekick,JX
34,Sidekick,JX Sport
34,Sidekick,JLX Sport
34,Sidekick,JA
34,Sidekick,JS Sport
34,Sidekick,JS Sport
35,Sidekick,JS
35,Sidekick,JX
35,Sidekick,JS Sport
35,Sidekick,JX Sport
35,Sidekick,JLX Sport
35,Sidekick,JX
35,Sidekick,JX Sport
35,Sidekick,JS Sport
35,Sidekick,JS
35,Sidekick,JLX Sport
36,Swift,GTI
36,Swift,GLX
36,Swift,GLX
36,Swift,GTI
37,Swift,GLX
37,Swift,GA
37,Swift,GL
37,Swift,GT
37,Swift,GS
37,Swift,S
37,Swift,S
37,Swift,GS
37,Swift,GL
37,Swift,GLX
37,Swift,GA
37,Swift,GT
37,Swift,L
38,Swift,GS
38,Swift,GA
38,Swift,GT
38,Swift,GL
38,Swift,GLX
38,Swift,L
38,Swift,GS
38,Swift,GA
38,Swift,GT
39,Swift,GA
39,Swift,GS
39,Swift,GT
39,Swift,GA
39,Swift,GL
39,Swift,GLX
39,Swift,L
39,Swift,GS
39,Swift,GT
40,Swift,GA
40,Swift,GS
40,Swift,GT
40,Swift,GA
40,Swift,GL
40,Swift,GLX
40,Swift,L
40,Swift,GS
40,Swift,GT
41,Swift,GA
41,Swift,GS
41,Swift,GT
41,Swift,GA
41,Swift,L
41,Swift,GS
41,Swift,GT
42,Swift,Base
42,Swift,Base
43,Swift,Base
43,Swift,Base
44,Swift,Base
44,Swift,Base
45,Swift,Base
45,Swift,Base
46,Swift,Base
46,Swift,Base
47,Swift,GA
47,Swift,GL
47,Swift,GA
47,Swift,GL
48,Swift,GA
48,Swift,GL
48,Swift,GL
48,Swift,GA
31840,Swift,Base
31842,Swift,Base
31844,Swift,Base
123018,Swift,Base
123018,Swift,100 Aniversario
123019,Swift,Base
123019,Swift,100 Aniversario
123020,Swift,GL
123020,Swift,GLS
125056,Swift,Sport
125056,Swift,GLS
125056,Swift,GLX
125056,Swift,GA
129796,Swift,GA
129796,Swift,GLS
129796,Swift,GLX
129796,Swift,Sport
130982,Swift,GA
130982,Swift,GLS
130982,Swift,GLX
130982,Swift,Sport
137739,Swift,GA
137739,Swift,GLS
137739,Swift,GLX
137739,Swift,Sport
137739,Swift,Special Edition
141027,Swift,GLS
141027,Swift,GLX
141027,Swift,Edicion Especial
141027,Swift,Sport
146718,Swift,GLS
146718,Swift,GLX
146718,Swift,Boosterjet
49,Vitara,JS
49,Vitara,JS Plus
49,Vitara,JX
49,Vitara,JX Plus
49,Vitara,JS
49,Vitara,JX
50,Vitara,JS
50,Vitara,JLS
50,Vitara,JX
50,Vitara,JLX
50,Vitara,JLX
50,Vitara,JX
50,Vitara,JLS
50,Vitara,JS
51,Vitara,JS
51,Vitara,JLS
51,Vitara,JX
51,Vitara,JLX
51,Vitara,JLX
51,Vitara,JX
51,Vitara,JLS
51,Vitara,JS
52,Vitara,JLS
52,Vitara,JLX
52,Vitara,JA
52,Vitara,JLS
52,Vitara,JLX
53,Vitara,Base
53,Vitara,JLX
53,Vitara,JX
18061,Vitara,LX
18061,Vitara,LX
138335,Vitara,All Grip
138335,Vitara,GLS
138335,Vitara,GLX
142963,Vitara,All Grip
142963,Vitara,Turbo
142963,Vitara,GLS
142963,Vitara,GLX
145412,Vitara,GLS
145412,Vitara,GLX
145412,Vitara,All Grip
145412,Vitara,Turbo
54,X-90,SE
54,X-90,Base
54,X-90,Base
55,X-90,Base
55,X-90,Base
56,X-90,Base
56,X-90,Base
57,XL-7,Base
57,XL-7,Plus
57,XL-7,Touring
57,XL-7,Limited
57,XL-7,Touring
57,XL-7,Limited
58,XL-7,Touring
58,XL-7,Limited
58,XL-7,Touring
58,XL-7,Limited
18060,XL-7,LX
18060,XL-7,EX
18060,XL-7,EX
18060,XL-7,LX
18529,XL-7,EX
18529,XL-7,LX
18529,XL-7,EX
18529,XL-7,LX
18946,XL-7,Base
18946,XL-7,Premium
18946,XL-7,Base
23938,XL-7,Base
23938,XL-7,Luxury
23938,XL-7,Limited
23938,XL-7,GL
23938,XL-7,GLS
23938,XL-7,Base
23938,XL-7,Luxury
23938,XL-7,Limited
29041,XL-7,Premium
29041,XL-7,Limited
29041,XL-7,Luxury
29041,XL-7,Base
29041,XL-7,JX
29041,XL-7,JLX
29041,XL-7,GL
29041,XL-7,GLS
30244,XL-7,Luxury
30244,XL-7,Limited
30244,XL-7,Premium
30244,XL-7,GLS
30244,XL-7,JLX
59,911,Carrera
59,911,S
59,911,S
59,911,Carrera
60,911,S
60,911,Turbo Carrera
60,911,S
60,911,Turbo Carrera
61,911,S
61,911,Turbo Carrera
61,911,S
61,911,Turbo Carrera
62,911,SC
62,911,SC
63,911,SC
63,911,SC
64,911,SC
64,911,SC
65,911,SC
65,911,Base
65,911,SC
66,911,SC
66,911,Base
66,911,SC
67,911,SC
67,911,Base
67,911,SC
68,911,Carrera
68,911,Base
68,911,Carrera
69,911,Carrera
69,911,Base
69,911,Carrera
70,911,Turbo Carrera
70,911,Carrera
70,911,Carrera
70,911,Turbo Carrera
71,911,Turbo Carrera
71,911,Carrera
71,911,Base
71,911,Carrera
71,911,Turbo Carrera
