,TONNEAUS,HOOD SHIELDS,AEROSKIN,AIR DEFLECTORS,BED ACCESSORIES,BED ACCESSORIES,BED ACCESSORIES,BEDRAIL-TAILGATE CAPS,BEDRAIL-TAILGATE CAPS,BODY KITS - FLARES,BULL BARS,BUMPERS - RAMPAGE,BUMPERS - RAMPAGE,BUMPERS - RAMPAGE,BUMPERS - RAMPAGE,BUMPERS - RAMPAGE,BUMPERS - RAMPAGE,BUMPERS - RAMPAGE,BUMPERS - RAMPAGE,BUMPERS - RAMPAGE,CARGO MANAGEMENT,CARGO MANAGEMENT,CARGO MANAGEMENT,CARGO MANAGEMENT,CARGO MANAGEMENT,CARGO MANAGEMENT,CARGO MANAGEMENT,CARGO MANAGEMENT,CHROME ACCESSORIES,CHROME ACCESSORIES,CHROME ACCESSORIES,CHROME ACCESSORIES,CHROME ACCESSORIES,CHROME ACCESSORIES,CHROME ACCESSORIES,COMBO KITS,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),EXTERIOR ACCESSORIES (RAMPAGE),FENDER FLARE ELITE SERIES,FENDER FLARES BW,FENDER FLARES ST,FLOOR COVERINGS,FLOOR COVERINGS,FLOOR COVERINGS,FLOOR COVERINGS,FLOOR COVERINGS,HOOD SCOOPS,HOOD SHIELDS,HT - Grill Covers,HT - Grill Covers,HT - Grill Covers,HT - Grill Covers,HT - Other Products,HT - Other Products,HT - Other Products,HT - Other Products,HT - Other Products,HT - Other Products,HT - Rock Guards,HT - Shields,HT - STAINLESS STEEL,INTERIOR ACCESSORIES,INTERIOR ACCESSORIES,INTERIOR ACCESSORIES,INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),INTERIOR ACCESSORIES (RAMPAGE),LIGHT COVERS,LIGHT COVERS,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,NERF BARS,ROCKER GUARDS,ROCKER GUARDS,ROCKER GUARDS,RUNNING BOARDS,RUNNING BOARDS,RUNNING BOARDS,STORAGE BOXES,STORAGE BOXES,STORAGE BOXES,STORAGE BOXES,STORAGE TANKS,TONNO PRO TONNEAUS,TOPS - RAMPAGE,TOPS - RAMPAGE,TOPS - RAMPAGE,TOPS - RAMPAGE,TOPS - RAMPAGE,TOPS - RAMPAGE,TOPS - RAMPAGE,TOPS - RAMPAGE,TOPS - RAMPAGE,TOPS - RAMPAGE,WINDOW,WINDOW,WINDOW,WINDOW,POWERSTEPS,BEDSTEPS,BEDSTEP2,BEDXTENDERS,AMP FUEL DOOR,POWERSTEPS,POWERSTEPS,POWERSTEPS,POWERSTEPS,POWERSTEPS
,,,,,HEADACHE RACK STEEL,TAILGATE PROTECTORS,TAILGATE SEAL,BED RAIL CAPS,TAILGATE CAPS,,,EURO GRILL GUARDS,RECOVERY BUMPER ACCESSORIES,RECOVERY BUMPER ACCESSORIES,RECOVERY BUMPER ACCESSORIES,RECOVERY BUMPER ACCESSORIES,RECOVERY BUMPER ACCESSORIES,,TOW HOOKS AND D-RINGS,TOW HOOKS AND D-RINGS,CARGO BAR,CARGO CARRIER ACCESSORIES,CARGO CARRIERS,HITCH RACK,HITCH STEP,RAMPS,ROOF RACKS,SOFT CARGO PACKS,CHROME DOOR HANDLE COVERS-2DR,CHROME DOOR HANDLE COVERS-4DR,CHROME DOOR LEVER COVERS-2DR,CHROME DOOR LEVER COVERS-4DR,CHROME MIRROR COVERS,CHROME TAILGATE HANDLE COVERS,FUEL DOOR COVER,,BUMPER PROTECTION,TRAIL ARMOR,TRAIL ARMOR SOFT TOP,AUXILIARY LIGHTING,AUXILIARY LIGHTING,AUXILIARY LIGHTING,CAB COVERS,CAB COVERS,CAMERA,CUSTOM VEHICLE COVERS,EXTERIOR ACCESSORIES,,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,EXTERIOR ACCESSORIES,FUEL DOORS - BILLET STYLE,FUEL DOORS - CHROME,HEADLIGHT KITS,HEADLIGHT KITS,HINGES,HINGES,HOOD CATCHES,HOOD KITS,JEEP GRILL,JEEP GRILL,LIGHT GUARDS,LIGHT GUARDS,MIRRORS,MIRRORS,NB 3 IN ROUND BENT SS-RAMPAGE,NB 3 IN ROUND BENT STEEL-RAMP,PATRIOT RUNNING BOARD,PATRIOT-STREAMLINE BRACKETS,ROLL BAR PAD & COVER KIT,SLIMLINE SIDE BARS,SOFT TOP STORAGE,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SPECIALTY ACCESSORIES,SRS SIDEBAR ROCK CRAWLER STYLE,STEPSHIELDS,TAIL LIGHTS,TAILGATE LIGHT BARS,TIRE COVERS,TONNEAU COVERS - RAMPAGE,UNIVERSAL CAR COVERS,UNIVERSAL CAR COVERS,XTREMELINE SIDE BARS,XTREMELINE SIDE BARS,,,,CARGO LOGIC FOR TRUCKS,CARGO LOGIC LOKS,,,,HOOD SCOOPS,FENDER PROTECTOR,BUGSCREENS AFTERMARKET,PATRIOTIC BUGSCREENS,TANK COVERS,WINTERFRONT AFTERMARKET,CHOP TOP CHROME,CHOP TOP SMOKE,CHOP TOP USA FLAG,HT VENTVISOR CHROME,HT VENTVISORS,VENTSHADES,ROCKGUARD AFTERMARKET,,,STEPSHIELD - 2PC BLACK,STEPSHIELD - 3PC BLACK,STEPSHIELD - 4PC BLACK,ACCESSORY LIGHTS,CENTER CONSOLES,COLUMN KITS-SHIFTER HANDLES,COLUMN KITS-SHIFTER HANDLES,COMFORT COMBO SEAT COVERS,CUSTOM SEAT COVERS,INTERIOR ACCESSORIES,INTERIOR ACCESSORIES,INTERIOR ACCESSORIES,INTERIOR ACCESSORIES,INTERIOR ACCESSORIES,INTERIOR ACCESSORIES,INTERIOR ACCESSORIES,STORAGE BAGS,STORAGE BAGS,,,BUSHWACKER HW KITS AM ONLY,BUSHWACKER HW KITS AM ONLY,HARDWARE KIT COMPONENTS TP,HARDWARE KIT COMPONENTS TP,HARDWARE KIT COMPONENTS TP,HARDWARE OEM & AFTERMARKET,OTHER,UTILITY KITS TP,UTILITY KITS TP,,RHINO LININGS ROCKER GUARDS-LG,RHINO LININGS ROCKER GUARDS-SM,RHINO LININGS ROCKER GUARDS-SM,,,,,,,,,,,,,,SOFT TOP HARDWARE,SOFT TOP HARDWARE,SOFT TOP HARDWARE,SOFT TOP HARDWARE,SOFT TOP HARDWARE,SOFT TOP HARDWARE,,,,,AIR TANK RELOCATION KIT,BEDSTEP,BEDSTEP2,,FUEL DOOR,,POWERSTEP KIT,POWERSTEP PLUG-N-PLAY PASS THRU HARNESS,POWERSTEP TRIM STRIP,
,1188,10669,10669,1256,14631,49635,12506,10751,49635,1036,1044,1044,1212,2804,18169,19226,20567,1340,1202,14948,17781,17952,17952,17952,19479,17952,17952,17952,13736,13736,13736,13736,13118,13742,13738,10669,16670,16666,14102,10016,15015,47892,1019,1020,47472,1020,1024,1036,1164,1376,10034,11189,11239,13938,14096,14123,14143,14537,17747,18648,13738,13738,10762,18547,1377,14122,10747,14095,1384,14090,1054,1164,13117,14106,1082,1082,1108,14614,15283,1082,14117,7636,14315,14584,14638,14689,15298,16589,16921,17422,17490,17745,17951,18353,19186,20565,49809,1082,1032,18555,15288,1184,1188,1019,1020,1082,14614,1036,1036,1036,1008,17781,14634,17781,1300,13927,13926,1046,1046,57070,20960,1124,1124,1124,1124,1124,1124,,10669,10669,1032,1032,13745,14676,10004,11074,18631,1316,1316,6844,10042,12274,12276,13655,15599,18171,1263,10879,1052,1160,11720,14087,12506,14676,53127,17549,1124,19889,19894,1082,14086,13974,14086,1080,14615,1108,1192,15418,15417,18355,14758,1188,14102,14121,10034,20570,1427,12306,14114,14115,14121,49155,1328,1124,13740,1152,16841,50412,10771,10602,11239,46789,13049,21723,47779,1108
Attribute Field Name ,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req,Req
BedType,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CabType,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N
Bed Length,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Front Flare Height,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Front Flare Tire Coverage,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Rear Flare Height,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Rear Flare Tire Coverage,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
