stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
COMPANY STOCK,CBTCHNREGREG-515,CBTCHNREGREG-515-1,"22,YELLOW",SCHN28012,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,MACALUCKSHMI JEWELLERS,,1,12.461,12.461,11.464,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,339.15,AG-22KT-YELLOW,0,12.461,0,39201.37,,
COMPANY STOCK,MCNACSBCNREG-707,MCNACSBCNREG-707-1,"18,YELLOW",SACS49933,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,IN HOUSE,,1,1.04,1.04,0.79,0,,0,0,0,0,0,15
,,,,,,FG-BHSHW,,,,0,0,0,0,3414.74,AG-18-YELLOW,0,1.04,0,3309.28,,
COMPANY STOCK,MCNACSBCNREG-485,MCNACSBCNREG-485-1,"22,YELLOW",SACS37589,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,IN HOUSE,,1,1.03,1.03,0.948,0,,0,0,0,0,0,15
,,,,,,FG-BHSHW,,,,0,0,0,0,4173.76,AG-22KT-YELLOW,0,1.03,0,3277.46,,
COMPANY STOCK,MCNCHNREGREG-604,MCNCHNREGREG-604-1,"22,YELLOW",SCHN46017,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Swarnshilp Chains & Jewellers Pvt. Ltd,,1,5.749,5.749,5.289,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,722.43,AG-22KT-YELLOW,0,5.749,0,19897.52,,
OWNER STOCK,MCNACSBCNREG-471,MCNACSBCNREG-471-1,"22,YELLOW",SACS37423,PMJ&GEMS-B-C-BANGALORE-SHOWROOM,FINISHED GOODS-BLRSHW,,SRIKANTA GHOSH (44),SRIKANTA GHOSH (44),1,5.92,5.92,5.446,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-BLRSHW,,,,0,0,0,0,726.18,AG-22KT-YELLOW,0,5.92,0,0,,
OWNER STOCK,MCNACSBCNREG-451,MCNACSBCNREG-451-1,"22,YELLOW",SACS37437,PMJ&GEMS-B-C-BANGALORE-SHOWROOM,FINISHED GOODS-BLRSHW,,SRIKANTA GHOSH (44),SRIKANTA GHOSH (44),1,5.927,5.927,5.453,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-BLRSHW,,,,0,0,0,0,725.32,AG-22KT-YELLOW,0,5.927,0,0,,
COMPANY STOCK,ORDORDREGREG-14,ORDORDREGREG-14-1,"22,YELLOW",CORD15329,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Singar Santosh R,,1,19.08,12.89,11.859,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,333.51,AG-22KT-YELLOW,0,12.89,0,35576.4,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,CSTMIXMIXMIXMIX,1,30.95,0.03,309.5,,
OWNER STOCK,ORDORDREGREG-3,ORDORDREGREG-3_1-1,"22,YELLOW",CORD15333,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Aarpee Bangles,Aarpee Bangles,1,15.48,15.48,14.242,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,268.3,AG-22KT-YELLOW,0,15.48,0,0,,
COMPANY STOCK,MCNCHNREGREG-628,MCNCHNREGREG-628-1,"22,YELLOW",SCHN46030,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Swarnshilp Chains & Jewellers Pvt. Ltd,,1,10.014,10.014,9.213,0,,0,0,0,0,0,15
,,,,,,FG-BHSHW,,,,0,0,0,0,414.74,AG-22KT-YELLOW,0,10.014,0,34658.85,,
COMPANY STOCK,FCYCHNREGREG-85,FCYCHNREGREG-85-1,"22,YELLOW",SCHN15198,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,ARHAM JEWELLERS,,1,11.165,11.165,10.272,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,385.04,AG-22KT-YELLOW,0,11.165,0,36844.5,,
COMPANY STOCK,CBTCHNREGREG-617,CBTCHNREGREG-617-1,"22,YELLOW",SCHN36866,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,MACALUCKSHMI JEWELLERS,,1,11.958,11.958,11.001,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,341.23,AG-22KT-YELLOW,0,11.958,0,37618.97,,
COMPANY STOCK,MCNACSBCNREG-54,MCNCHNREGREG-54-1,"22,YELLOW",ACS66105,PMJ&GEMS-B-C-BANGALORE-SHOWROOM,FINISHED GOODS-BLRSHW,,DIVIJA JEWELS,,1,25.603,25.603,23.555,0,,0,0,0,0,0,16
,,,,,,FINISHED GOODS-BLRSHW,,,,0,0,0,0,165.06,AG-22KT-YELLOW,0,25.603,0,73713.87,,
COMPANY STOCK,FCYCHNREGREG-147,FCYCHNREGREG-147-1,"22,YELLOW",SCHN15215,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,ARHAM JEWELLERS,,1,9.61,9.61,8.841,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,447.34,AG-22KT-YELLOW,0,9.61,0,31713,,
OWNER STOCK,RJTCHNREGREG-42,RJTCHNREGREG-42-1,"22,YELLOW",SCHN25588,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Pareshbhai Mahendrabhai Jewellers Pvt Ltd,Pareshbhai Mahendrabhai Jewellers Pvt Ltd,1,24.535,24.535,22.572,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,175.22,AG-22KT-YELLOW,0,24.535,0,0,,
COMPANY STOCK,CBTCHNREGREG-825,CBTCHNREGREG-825-1,"22,YELLOW",SCHN67486,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,I.K.JEWELLERS,,1,9.93,9.93,9.136,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,425.59,AG-22KT-YELLOW,0,9.93,0,31726.35,,
COMPANY STOCK,MCNCHNREGREG-757,MCNCHNREGREG-757-1,"22,YELLOW",SCHN67816,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,I.K.JEWELLERS,,1,19.94,19.94,18.345,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,208.29,AG-22KT-YELLOW,0,19.94,0,63708.3,,
OWNER STOCK,INTCHNREGREG-721,INTCHNREGREG-721-1,"22,YELLOW",SCHN69049,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Royal Chains Pvt Ltd,Royal Chains Pvt Ltd,1,27.48,27.48,25.282,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,153.79,AG-22KT-YELLOW,0,27.48,0,0,,
COMPANY STOCK,MCNBNGS08REG-539,MCNBNGS08REG-539-1,"22,YELLOW",SBNG69061,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Aarpee Bangles,,1,64.107,64.107,58.978,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,64.79,AG-22KT-YELLOW,0,64.107,0,211553.1,,
COMPANY STOCK,MCNCHNREGREG-725,MCNCHNREGREG-725-1,"22,YELLOW",SCHN69254,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Swarnshilp Chains & Jewellers Pvt. Ltd,,1,8.1,8.1,7.452,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,521.74,AG-22KT-YELLOW,0,8.1,0,28608.35,,
COMPANY STOCK,SDKBRCROUREG-84,SDKBRCROUREG-84-1,"22,YELLOW",SBRC69336,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Aarpee Bangles,,1,7.34,7.34,6.753,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,575.76,AG-22KT-YELLOW,0,7.34,0,24222,,
COMPANY STOCK,MCNCHNREGREG-792,MCNCHNREGREG-792-1,"22,YELLOW",SCHN67584,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,I.K.JEWELLERS,,1,8.11,8.11,7.461,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,512.11,AG-22KT-YELLOW,0,8.11,0,25911.45,,
COMPANY STOCK,MCNCHNREGREG-745,MCNCHNREGREG-745-1,"22,YELLOW",SCHN67592,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,I.K.JEWELLERS,,1,8.14,8.14,7.489,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,510.23,AG-22KT-YELLOW,0,8.14,0,26007.3,,
COMPANY STOCK,MCNCHNREGREG-783,MCNCHNREGREG-783-1,"22,YELLOW",SCHN67589,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,I.K.JEWELLERS,,1,7.9,7.9,7.268,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,525.73,AG-22KT-YELLOW,0,7.9,0,25240.5,,
COMPANY STOCK,CRTBRCLSEREG-23,CRTBRCLSEREG-23-1,"22,YELLOW",SBRC67695,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,I.K.JEWELLERS,,1,3.27,3.27,3.008,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,1292.39,AG-22KT-YELLOW,0,3.27,0,10447.65,,
COMPANY STOCK,MCNCHNREGREG-755,MCNCHNREGREG-755-1,"22,YELLOW",SCHN67808,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,I.K.JEWELLERS,,1,10.17,10.17,9.356,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,408.38,AG-22KT-YELLOW,0,10.17,0,32493.15,,
COMPANY STOCK,MCNCHNREGREG-29,MCNCHNREGREG-29-1,"22,YELLOW",CHN56610,Eluru Mobile Marketing,FINISHED GOODS-APEMM,,GUPTA GOLD,,1,38.38,38.38,35.31,0,,0,0,0,0,0,0
,,,,,,FINISHED GOODS-APEMM,,,,0,0,0,0,110.11,AG-22KT-YELLOW,0,38.38,0,108337.27,,
COMPANY STOCK,MCNBNGS02REG-905,MCNBNGS02REG-905-1,"22,YELLOW",CBNG74842,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Aarpee Bangles,,1,21.9,21.9,20.148,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,189.65,AG-22KT-YELLOW,0,21.9,0,23128.78,,
COMPANY STOCK,MCNBNGS04REG-54,MCNBNGS04REG-54-1,"22,YELLOW",SBNG63313,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Aarpee Bangles,,1,59.955,59.955,55.159,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,283.48,AG-22KT-YELLOW,0,15.165,0,41855.4,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,289.1,AG-22KT-YELLOW,0,14.87,0,41041.2,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,289.88,AG-22KT-YELLOW,0,14.83,0,40930.8,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,284.89,AG-22KT-YELLOW,0,15.09,0,41648.4,,
COMPANY STOCK,ITLCHNREGROD-3,FCYCHNREGROD-3-1,"22,YELLOW",SCHN74730,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,RITIKA CHAINS,,1,16.94,16.94,15.585,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,253.78,AG-22KT-YELLOW,0,16.94,0,2350.89,,
COMPANY STOCK,CSTBRCLSEREG-7,CSTBRCLSEREG-7-1,"22,YELLOW",SBRC74931,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Chains Corner Jewellery (I) PLtd,,1,29.594,29.594,27.226,0,,0,0,0,0,0,15
,,,,,,FG-BHSHW,,,,0,0,0,0,145.27,AG-22KT-YELLOW,0,29.594,0,94700.78,,
COMPANY STOCK,HOLBRCLSEREG-9,HOLBRCLSEREG-9-1,"22,YELLOW",SBRC74933,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Chains Corner Jewellery (I) PLtd,,1,7.104,7.104,6.536,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,584.64,AG-22KT-YELLOW,0,7.104,0,22732.79,,
COMPANY STOCK,CRTBRCLSEREG-5,CRTBRCLSEREG-5-1,"22,YELLOW",SBRC74912,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Chains Corner Jewellery (I) PLtd,,1,23.325,23.325,21.459,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,178.06,AG-22KT-YELLOW,0,23.325,0,74639.98,,
COMPANY STOCK,HOLBRCLSEREG-9,HOLBRCLSEREG-9-1,"22,YELLOW",SBRC74935,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Chains Corner Jewellery (I) PLtd,,1,7.404,7.404,6.812,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,560.95,AG-22KT-YELLOW,0,7.404,0,23692.79,,
COMPANY STOCK,HOLBRCLSEREG-9,HOLBRCLSEREG-9-1,"22,YELLOW",SBRC74934,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Chains Corner Jewellery (I) PLtd,,1,6.974,6.974,6.416,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,595.53,AG-22KT-YELLOW,0,6.974,0,22316.79,,
COMPANY STOCK,CRTBRCLSEREG-28,CRTBRCLSEREG-28-1,"22,YELLOW",SBRC67663,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,I.K.JEWELLERS,,1,8.14,8.14,7.489,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,528.13,AG-22KT-YELLOW,0,8.14,0,26007.3,,
COMPANY STOCK,HOLBRCLSEREG-9,HOLBRCLSEREG-9-1,"22,YELLOW",SBRC74936,PMJ&GEMS-B-C-Vizag-SHOWROOM,FINISHED GOODS-VTZSHW,,Chains Corner Jewellery (I) PLtd,,1,6.844,6.844,6.296,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-VTZSHW,,,,0,0,0,0,606.85,AG-22KT-YELLOW,0,6.844,0,21900.79,,
COMPANY STOCK,CBTCHNREGREG-218,CBTCHNREGREG-218-1,"22,YELLOW",SCHN13074,PMJ&GEMS-B-C-BANJARA HILLS-HO,BNJ INVENTORY,,M.N UDAY KUMAR,,1,24.83,24.83,22.844,0,,0,0,0,0,0,27
,,,,,,BNJ INVENTORY,,,,0,0,0,0,170.2,AG-22KT-YELLOW,0,24.83,0,68530.8,,
OWNER STOCK,MCNACSBCNREG-409,MCNACSBCNREG-409-1,"22,YELLOW",SACS70144,PMJ&GEMS-B-C-BANGALORE-SHOWROOM,FINISHED GOODS-BLRSHW,,SRIKANTA GHOSH (44),SRIKANTA GHOSH (44),1,5.61,5.61,5.161,0,,0,0,0,0,0,18
,,,,,,FINISHED GOODS-BLRSHW,,,,0,0,0,0,766.31,AG-22KT-YELLOW,0,5.61,0,0,,
COMPANY STOCK,CRTBRCLSEREG-19,CRTBRCLSEREG-19-1,"22,YELLOW",SBRC67661,PMJ&GEMS-B-C-VIJAYAWADA-SHOWROOM,FG-VIJSHW,,I.K.JEWELLERS,,1,8.14,8.14,7.489,0,,0,0,0,0,0,18
,,,,,,FG-VIJSHW,,,,0,0,0,0,546.03,AG-22KT-YELLOW,0,8.14,0,26007.3,,
COMPANY STOCK,MCNCHNREGREG-224,MCNCHNREGREG-224-1,"22,YELLOW",SCHN30180,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Swarnshilp Chains & Jewellers Pvt. Ltd,,1,5.8,5.8,5.336,0,,0,0,0,0,0,15
,,,,,,FG-BHSHW,,,,0,0,0,0,678.39,AG-22KT-YELLOW,0,5.8,0,20484.99,,
COMPANY STOCK,MCNCHNREGREG-620,MCNCHNREGREG-620-1,"22,YELLOW",SCHN46013,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Swarnshilp Chains & Jewellers Pvt. Ltd,,1,5.41,5.41,4.977,0,,0,0,0,0,0,15
,,,,,,FG-BHSHW,,,,0,0,0,0,767.7,AG-22KT-YELLOW,0,5.41,0,18724.23,,
COMPANY STOCK,FCYCHNREGREG-59,FCYCHNREGREG-59-1,"22,YELLOW",SCHN15196,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,ARHAM JEWELLERS,,1,8.945,8.945,8.229,0,,0,0,0,0,0,18
