stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
ANLMIXMIXMIXMIX,Artificial_Nail,,,,,200,300
BLBMIXMIXMIXMIX,Artificial_Nail,,,,,200,300
ARTMIXMIXMIXMIX,Artificial_Nail,,,,,200,300
ARTIFICIAL NAILMIXAMIXMIX,Artificial_Nail,,,,,200,300
BSRPRLRNDAWHITEMIX,Basara_Pearl,Round,,WHITE,,200000,300000
BSRPRLMIXMIXMIXMIX,Basara_Pearl,,,,,200000,300000
BEAMIXMIXMIXMIX,Beeds,,,,,150,225
BDSRNDAMIXMIX,Beeds,Round,,,,150,225
BDSBEAAPINKMIX,Beeds,,,PINK,,150,225
BLBMIXMIXBLACKMIX,Black_Beeds,,,BLACK,,150,225
BLCBDSRNDABLACKMIX,Black_Beeds,Round,,BLACK,,150,225
BLBMIXMIXBLACK0.000 TO 0.056 (I),Black_Beeds,,,BLACK,0.000 TO 0.056 (I),150,225
BKDMIXMIXMIXMIX,Black_Diamond_Stone,,,,,3000,4500
BKDMIXMIXBLACKMIX,Black_Diamond_Stone,,,BLACK,,3000,4500
BLKDIARNDABLACKMIX,Black_Diamond_Stone,Round,,BLACK,,3000,4500
DORMIXMIXMIXMIX,Black_Dori,,,,,1200,1800
BLUSHPMIXMIXBLUEMIX,Blue_Sapphire,,,BLUE,,5000,7500
BLUSHPMIXABLUEMIX,Blue_Sapphire,,,BLUE,,5000,7500
BLUSHPDRPMIXABLUEMIX,Blue_Sapphire,,,BLUE,,5000,7500
BLUSHPBDSMIXMIXBLUEMIX,Blue_Sapphire,,,BLUE,,5000,7500
SAPMIXMIXBLUE(4.5 X 3.0 X 2.1MM),Blue_Sapphire,,,BLUE,,5000,7500
SAPMIXMIXBLUE0.000 TO 0.056 (I),Blue_Sapphire,,,BLUE,0.000 TO 0.056 (I),5000,7500
SAPMIXMIXBLUE(6.0 X 4.0MM),Blue_Sapphire,,,BLUE,,5000,7500
SAPMIXMIXBLUE(7.0 X 5.0MM),Blue_Sapphire,,,BLUE,,5000,7500
SAPMIXMIXBLUE(5.0 X 3.0 X 2.1MM),Blue_Sapphire,,,BLUE,,5000,7500
BRMRDRPMIXAREDMIX,Burma_Ruby,,,RED,,5000,7500
BRMRUBMIXMIXREDMIX,Burma_Ruby,,,RED,,5000,7500
CATEYEMIXAMIXMIX,Cats_Eye,,,,,5000,7500
WCKRMIXAMIXMIX,Chakri,,,,,10000,15000
CRLMIXMIXORANGEMIX,Coral,,,ORANGE,,5000,7500
CORMIXMIXORANGEMIX,Coral,,,ORANGE,,5000,7500
CORMIXAORANGEMIX,Coral,,,ORANGE,,5000,7500
CRLMIXMIXMIXMIX,Coral,,,,,5000,7500
CORBDSMIXMIXORANGEMIX,Coral,,,ORANGE,,5000,7500
CLRMIXMIXMIXMIX,Coral,,,,,5000,7500
CRBMIXMIXORANGEMIX,Coral_Beeds,,,ORANGE,,5000,7500
CZSMIXMIXMIXMIX,Cubic_Zirconia,,,,,10,15
CZSRNDMIXMIXMIX,Cubic_Zirconia,Round,,,,10,15
DIAPEAVVSEF0.13 TO 0.175(IV),Diamond,Pear,VVS,EF,0.13 TO 0.175(IV),50000,75000
DIARNDVVSEFABOVE-40CT,Diamond,Round,VVS,EF,ABOVE-40CT,50000,75000
DIARNDVVSEF02.01-3CT,Diamond,Round,VVS,EF,02.01-3CT,50000,75000
DIAMAQVVS - VSEF03.01-4CT,Diamond,Marquise,VVS-VS,EF,03.01-4CT,50000,75000
DIAMAQVVS - VSEF0.085 TO 0.125 (III),Diamond,Marquise,VVS-VS,EF,0.085 TO 0.125 (III),50000,75000
DIARNDVVSEF01.01- 2 CT,Diamond,Round,VVS,EF,01.01- 2 CT,50000,75000
DIAMAQIF-VVS-VSEFBELOW01CT,Diamond,Marquise,IF-VVS-VS,EF,BELOW01CT,50000,75000
LBDMIXMIXEFMIX,Diamond,,,EF,,50000,75000
DIARNDVVSEF03.01-4CT,Diamond,Round,VVS,EF,03.01-4CT,50000,75000
