variant_name,product_type,category,sub_category,sub_sub_category,gold_diamond_uncut,display_in_ui
MCNBNGS12REG,Machin_made,Bangle,12Pcs,Regular,Diamond,No
OLDGOLD18K,Old,Gold,18K,,Gold,Yes
OLDGOLD22K,Old,Gold,22K,,Gold,Yes
MCNBNGS06REG,Machin_made,Bangle,6Pcs,Regular,Diamond,No
MCNBNGS06ROD,Machin_made,Bangle,6Pcs,Rhodium,Diamond,No
MCNBNGS08REG,Machin_made,Bangle,8Pcs,Regular,Diamond,No
MCNBNGS08ROD,Machin_made,Bangle,8Pcs,Rhodium,Diamond,No
OPNPNDALPREG,Open_Setting,Pendant,Alpha,Regular,Diamond,No
CSTRNGBBYREG,Customer,Ring,Baby,Regular,Diamond,No
CZARNGBBYREG,Cubic_Zirconia,Ring,Baby,Regular,Diamond,No
CDIBLMBABYBABY,Colour_Diamond,Bletmoguppu,Baby,Baby,Diamond,No
CDICKRBAJUBAJU,Colour_Diamond,Chokar_Tops,Bajubandh_cum_Chokar,Bajubandh_cum_Chokar,Diamond,No
OPNERNBALJBL,Open_Setting,Earring,Bali,J_Bali,Diamond,Yes
OPNERNBALRBL,Open_Setting,Earring,Bali,Round_Bali,Diamond,No
OPNMATBLIPNT,Open_Setting,Matching_Tops,Bali,Pendant,Diamond,No
CLSERNBALJBL,Close_Setting,Earring,Bali,J_Bali,Diamond,No
CZAERNBLIREG,Cubic_Zirconia,Earring,Bali,Regular,Diamond,No
CSTERNBLIREG,Customer,Earring,Bali,Regular,Diamond,No
PLGBRCBNGREG,Plain_Gold,Bracelet,Bangle,Regular,Diamond,No
OPNNECKNTMUM,Open_Setting,Necklace,Big,Mumbai,Diamond,No
OPNNECKNTREG,Open_Setting,Necklace,Big,Regular,Diamond,No
CLSNECKNTHYD,Close_Setting,Necklace,Big,Hyderabad,Diamond,No
CDIJDABILLBILL,Colour_Diamond,Jada,Billa,Billa,Diamond,No
FDIMTLCHAMCHAM,Full_Diamond,Matil,Champaswaralu,Champaswaralu,Diamond,No
GTPMATCHBREG,Guttapusulu,Matching_Tops,Chandbali,Regular,Diamond,No
UPCMATCHBREG,Uncut_polki_collection,Matching_Tops,Chandbali,Regular,Diamond,No
UPCERNCHBREG,Uncut_polki_collection,Earring,Chandbali,Regular,Diamond,No
VCLERNCHBREG,Victorian_Collection,Earring,Chandbali,Regular,Diamond,No
ANCMATCHBREG,Antiq,Matching_Tops,Chandbali,Regular,Diamond,No
OPNERNCHBREG,Open_Setting,Earring,Chandbali,Regular,Diamond,No
KUNERNCHBREG,Kundan,Earring,Chandbali,Regular,Diamond,No
ANCERNCHBREG,Antiq,Earring,Chandbali,Regular,Diamond,No
TMCERNCHBREG,Temple,Earring,Chandbali,Regular,Diamond,No
CLSERNCHBREG,Close_Setting,Earring,Chandbali,Regular,Diamond,No
UPCMATCHBMNG,Uncut_polki_collection,Matching_Tops,Chandbali,Mango,Diamond,No
CPIERNCHBREG,Chakri_Product,Earring,Chandbali,Regular,Diamond,No
CPIMATCHBREG,Chakri_Product,Matching_Tops,Chandbali,Regular,Diamond,No
ITLERNCHBREG,Itealian,Earring,Chandbali,Regular,Diamond,No
