variant_name,product_type,category,sub_category,sub_sub_category,gold_diamond_uncut,display_in_ui
OPNACSCFLREG,Open setting,Accessories,Open setting,Regular,Diamond,NO
RESACSPYLREG,Payal,Accessories,Ruby Emerald Collection,Regular,Gold,No
PLGACSARTREG,Plain Gold,Accessories,Plain Gold,Regular,Gold,NO
SLVACSARTREG,Silver,Accessories,Silver,Regular,Gold,No
KUNACSTKAREG,Tika,Accessories,Kundan,Regular,Gold,Yes
KUNACSVNKREG,Vanki,Accessories,Kundan,Regular,Gold,Yes
OPNACSWCHREG,Watch,Accessories,Regular,Regular,Diamond,Yes
ANCBNGS01REG,Antique,Bangle,Antique,Regular,Gold,Yes
ANCBNGS02NKS,Antique,Bangle,Nakas,Nakas,Gold,Yes
ANCBNGS02REG,Antique,Bangle,Antique,Regular,Gold,Yes
ANCBNGS04REG,Antique,Bangle,Antique,Regular,Gold,Yes
CPIBNGS01REG,Chakri Polki,Bangle,Chakri Polki,Regular,Un-Cut,Yes
CPIBNGS02REG,Chakri Polki,Bangle,Chakri Polki,Regular,Un-Cut,Yes
CDIBNGCLSECLBR,Close Setting,Bangle,Close Setting,Broad,Diamond,Yes
CDIBNGCLSECLCR,Close Setting,Bangle,Close Setting,Colour Diamond,Diamond,Yes
CDIBNGCLSECLTO,Close Setting,Bangle,Close Setting,Close Thoda,Diamond,Yes
CLSBNGMNSFDI,Close Setting,Bangle,Close Setting,Minus Design,Diamond,Yes
CLSBNGMNSREG,Close Setting,Bangle,Close Setting,Minus Design,Diamond,Yes
CLSBNGNAVREG,Close Setting,Bangle,Close Setting,Navratan,Diamond,Yes
CLSBNGREG3LN,Close Setting,Bangle,Close Setting,3 Line,Diamond,Yes
CLSBNGREGBRD,Close Setting,Bangle,Close Setting,Broad,Diamond,Yes
CLSBNGREGCDI,Close Setting,Bangle,Close Setting,Colour Diamond,Diamond,Yes
CLSBNGREGFDI,Close Setting,Bangle,Close Setting,Full Diamond,Diamond,Yes
CLSBNGREGGRD,Close Setting,Bangle,Close Setting,Graduation,Diamond,Yes
CLSBNGREGREG,Close Setting,Bangle,Close Setting,Close Setting,Diamond,Yes
CLSBNGTODREG,Close Setting,Bangle,Close Setting,Close Setting,Diamond,Yes
FDIBNGCLSECLOT,Close Setting,Bangle,Close Setting,Full Diamond,Diamond,Yes
FDIBNGCLSECL,Close Setting,Bangle,Close Setting,Full Diamond,Diamond,Yes
CDIBNGOPENOP,Colour Diamond,Bangle,Open Setting,Regular,Diamond,Yes
CDIBNGOPENOPCR,Colour Diamond,Bangle,Open Setting,Regular,Diamond,Yes
LPHBNGFANCDI,Colour Diamond,Bangle,Luxury Special Product,Regular,Diamond,Yes
OPNBNGREGCDI,Colour Diamond,Bangle,Open Setting,Regular,Diamond,Yes
OPNBNGRGRCDI,Colour Diamond,Bangle,Open Setting,Regular,Diamond,Yes
FDIBNGOPENOPFD,Full Diamond,Bangle,Open Setting,Regular,Diamond,Yes
