karat_color,metal_type,karat,metal_color,
336,"22,YELLOW",Gold,22,Yellow
337,"18,YELLOW",Gold,18,Yellow
338,"18,ROSE",Gold,18,Rose
339,"18,WHITE",Gold,18,White
340,"95.00,WHITE",Platinum,95,White
341,"92,WHITE",Gold,22,White
342,"75,WHITE",Gold,18,White
343,"14,WHITE",Gold,14,White
344,"22,WHITE",Gold,22,White
345,"80,WHITE",Silver,80,White
346,"24,YELLOW",Gold,24,Yellow
347,"925,WHITE/14,YELLOW",Silver/Gold,92/14,White/Yellow
348,"14,YELLOW/925,WHITE",Gold/Silver,14/92,Yellow/White
349,"18,WHITE/18,YELLOW",Gold,18,White/Yellow
350,"95.00,YELLOW",Platinum,95,Yellow
351,"18,YELLOW/18,ROSE",Gold,18,Yellow/Rose
352,"18,YELLOW/22,YELLOW",Gold,18/22,Yellow
353,"100,YELLOW",Gold,24,Yellow
354,"22,YELLOW/18,YELLOW",Gold,22/18,Yellow
355,"24,YELLOW/18,YELLOW",Gold,24/18,Yellow
356,"100.00,YELLOW",Gold,24,Yellow
357,"14,YELLOW",Gold,14,Yellow
358,"75.00,WHITE/100,YELLOW",Gold,18/24,Yellow
359,"18,YELLOW/18,WHITE",Gold,18,Yellow/White
360,"18,YELLOW/24,YELLOW",Gold,18/24,Yellow
361,"18,YELLOW/925,WHITE",Gold/Silver,18/92,Gold/Silver
362,"925,WHITE/18,YELLOW",Silver/Gold,92/18,Silver/Gold
363,"18,ROSE-WHITE",Gold,18,Rose-White
364,"14,ROSE",Gold,14,Rose
365,"18,ROSE/18,YELLOW",Gold,18,Rose/Yellow
366,"22,ROSE",Gold,22,Rose
367,"18,YELLLOW",Gold,18,Yellow
368,"14,YELLOW/18,ROSE",Gold,14/18,Yellow/Gold
369,"22KT,YELLOW",Gold,22,Yellow
370,"22,YELLLOW",Gold,22,Yellow
371,"22KT,YELLOW/22,YELLOW",Gold,22,Yellow
372,"22,YELLOW/22KT,YELLOW",Gold,22,Yellow
373,"100,YELLOW/75.00,WHITE",Gold,24/18,Yellow/White
374,"18,YELLOW/22KT,YELLOW",Gold,18/22,Yellow
