location_name,dept,show_as_instock,customer_friendly_location_name
Amalapuram Mobile Marketing,FINISHED GOODS-AMPMM,Yes,D2H_AP
Anakapalle Mobile Marketing,FINISHED GOODS-AKPMM,Yes,D2H_AP
Anantapur Mobile Marketing,FINISHED GOODS-APAMM,Yes,D2H_AP
Bangalore Mobile Marketing,D2H BANGALORE,Yes,D2H_KA
Bangalore Mobile Marketing,FINISHED GOODS-BLRMM,Yes,D2H_KA
Bangalore Mobile Marketing,HNIBLR,Yes,D2H_KA
Bangalore Mobile Marketing,KASHIMOGA,Yes,D2H_KA
Bangalore Mobile Marketing,EXHIBITION KA,Yes,EXHI_KA
Bellary Mobile Marketing,FINISHED GOODS-KABMM,Yes,D2H_KA
Bhimavaram Mobile Marketing,Bhimavaram HNI,Yes,D2H_AP
Bhimavaram Mobile Marketing,FINISHED GOODS-APBMM,Yes,D2H_AP
Bobbili Mobile Marketing,FINISHED GOODS-BLIMM,Yes,D2H_AP
Chennai Mobile Marketing,FINISHED GOODS-TNCHMM,Yes,D2H_TN
Chennai Mobile Marketing,HNICHENNAI,Yes,D2H_TN
Chirala Mobile Marketing,FINISHED GOODS-CRLAMM,Yes,D2H_AP
Chittoor Mobile Marketing,FINISHED GOODS-CHITR,Yes,D2H_AP
Coimbatore Mobile Marketing,FINISHED GOODS-TNCOMM,Yes,D2H_TN
Coimbatore Mobile Marketing,HNI COIMBATORE,Yes,D2H_TN
D2h Hyderabad,FINISHED GOODS-D2H Hyd,Yes,D2H_TS
Davanagere Mobile Marketing,DVNG-FG,Yes,D2H_KA
Eluru Mobile Marketing,FINISHED GOODS-APEMM,Yes,D2H_AP
Erode Mobile Marketing,FINISHED GOODS-TNEMM,Yes,D2H_TN
Exhibition Andhara Pradesh,EXAP,Yes,EXHI_AP
Exhibition Andhara Pradesh,FINISHED GOODS- AP,Yes,EXHI_AP
Exhibition Karnataka,EXHI KA,Yes,EXHI_KA
Exhibition Karnataka,FINISHED GOODS-EXKA,Yes,EXHI_KA
Exhibition Tamil Nadu,EXTN,Yes,EXHI_TN
Exhibition Tamil Nadu,FINISHED GOODS-VJWMMZ1,Yes,EXHI_TN
Exhibition Telangana,EXTG,Yes,EXHI_TS
Gajuwaka Mobile Marketing,FINISHED GOODS-GVKAMM,Yes,D2H_AP
Gudivada Mobile Marketing,FINISHED GOODS-GDVDMM,Yes,D2H_AP
Gudivada Mobile Marketing,HNI-GUDUVADA,Yes,D2H_AP
Guntur Mobile Marketeting,FINISHED GOODS-APGMM,Yes,D2H_AP
Guntur Mobile Marketeting,HNI GUNTUR,Yes,D2H_AP
Kadapa Mobile Marketing,FINISHED GOODS-KDPMM,Yes,D2H_AP
Kakinada Mobile Marketing,FINISHED GOODS-APKAMM,Yes,D2H_AP
Kanchipuram Mobile Marketing,KNPRM FINISH GOODS,Yes,D2H_TN
Karimanagar Mobile Marketing,FINISHED GOODS-TLKAMM,Yes,D2H_TS
Khammam Mobile Marketing,FINISHED GOODS-TLKHMM,Yes,D2H_TS
Kurnool Mobile Marketing,FINISHED GOODS-APKUMM,Yes,D2H_AP
Kurnool Mobile Marketing,HNI-KURNOOL,Yes,D2H_AP
Machilipatnam Mobile Marketing,FINISHED GOODS-MPTMM,Yes,D2H_AP
Mangalore Mobile Marketing,FINISHED GOODS-MGLRMM,Yes,D2H_KA
Miryalaguda Mobile Marketing,FINISHED GOODS-TLMMM,Yes,D2H_TS
Mysore Mobile Marketing,FINISHED GOODS-KAMMM,Yes,D2H_KA
Nandigama Mobile Marketing,FINISHED GOODS-NGMAMM,Yes,D2H_AP
Nandyal Mobile Marketing,FINISHED GOODS-NDLYMM,Yes,D2H_AP
Narasaraopet Mobile Marketing,FINISHED GOODS-NSPTMM,Yes,D2H_AP
Nellore Mobile Marketing,FINISHED GOODS-APNMM,Yes,D2H_AP
Nellore Mobile Marketing,HNINELLORE,Yes,D2H_AP
Nizambad Mobile Marketing,FINISHED GOODS-TLNMM,Yes,D2H_TS
Ongole Mobile Marketing,FINISHED GOODS-APOMM,Yes,D2H_AP
Ongole Mobile Marketing,HNI ONGOLE,Yes,D2H_AP
PMJ&GEMS-B-C-BANGALORE-SHOWROOM,FINISHED GOODS-BLRSHW,Yes,KA_BLR
PMJ&GEMS-B-C-BANGALORE-SHOWROOM,Selection BLR,No,Seletion
