metal_bom_variant,item_code,purity,color,indian_rate_gram,usa_rate_gram
AG-14-YELLOW,Gold,14,Yellow,1800,1980
AG14ROSE,Gold,14,Rose,1800,1980
AG18ROSE,Gold,18,Rose,3069,3376
AG-18-ROSE,Gold,18,Rose,3069,3376
AG18ROSE-WHITE,Gold,18,Rose/White,3069,3376
AG18WHITE,Gold,18,White,3069,3376
AG-18-WHITE,Gold,18,White,3069,3376
AG18YELLOW,Gold,18,Yellow,3069,3376
AG-18-YELLOW,Gold,18,Yellow,3069,3376
CHFWT-18-YELLOW,Gold,18,Yellow,3069,3376
AG18YELLLOW,Gold,18,Yellow,3069,3376
AG-22-WHITE,Gold,22,White,3715,4087
AG22YELLOW,Gold,22,Yellow,3715,4087
AG-22-YELLOW,Gold,22,Yellow,3715,4087
AG-95.00-YELLOW,Gold,22,Yellow,3715,4087
CHF-22-YELLOW,Gold,22,Yellow,3715,4087
AG-22-ROSE,Gold,22,Rose,3715,4087
AG-22KT-YELLOW,Gold,22,Yellow,3715,4087
AG-24-YELLOW,Gold,24,Yellow,3998,4398
GL-100-YELLOW,Gold,24,Yellow,3998,4398
GL-24-YELLOW,Gold,24,Yellow,3998,4398
GL-100.00-YELLOW,Gold,24,Yellow,3998,4398
PT95WHITE,Platinum,95,White,3500,3850
AG14White,Silver,14,White,48,53
AG-14-WHITE,Silver,14,White,48,53
AG75White,Silver,18,White,48,53
AG22White,Silver,22,White,48,53
AG92White,Silver,22,White,48,53
SIL-75.00-WHITE,Silver,75,White,48,53
AG80White,Silver,80,White,48,53
SIL-925-WHITE,Silver,92,White,48,53
SIL92WHITE,Silver,92,White,48,53
SIL-92-WHITE,Silver,92,White,48,53
AG22YELLLOW,Gold,22,Yellow,3715,4087
