stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
COMPANY STOCK,FCYCHNREGREG-101,FCYCHNREGREG-101-1,"22,YELLOW",SCHN15223,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,ARHAM JEWELLERS,,1,11.175,11.175,10.281,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,381.9757673,AG-22KT-YELLOW,0,11.175,0,36877.5,,
COMPANY STOCK,TMCJMKREGREG-164,TMCJMKREGREG-164-1,"22,YELLOW",SJMK10395,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,VINATI JEWELLERS,,1,63.47,62.332,57.34544,0,,0,0,0,0,350,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,EMPMIXMIXGREENMIX,4,0.8,1875,400,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,24,4.75,421.0526316,2375,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,68.48134506,AG-22KT-YELLOW,0,62.332,0,172036.32,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,POLMIXMIXEFMIX,2,0.14,128571.4286,980,,
COMPANY STOCK,MCNCHNREGREG-632,MCNCHNREGREG-632-1,"22,YELLOW",SCHN46039,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Swarnshilp Chains & Jewellers Pvt. Ltd,,1,7.471,7.471,6.87332,0,,0,0,0,0,0,14
,,,,,,FG-HIMSHW,,,,0,0,0,0,551.9852229,AG-22KT-YELLOW,0,7.471,0,25857.42984,,
COMPANY STOCK,OPNBRCLDSCDI-73,OPNBRCLDSCDI-73-1,"18,YELLOW",CBRC31355,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUVENDU GHOSH  (07),,1,10.75,10.484,7.96784,0,,0,0,0,0,550,15
,,,,,,FG-BHSHW,,,,0,0,0,0,0,ONXMIXMIXMIXMIX1,1,0.45,3333.333333,29.25,,
,,,,,,FG-BHSHW,,,,0,0,0,0,327.7916826,AG-18-YELLOW,0,10.484,0,30237.9528,,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEFBELOW 01 CT,31,0.88,67613.63636,39600,,
COMPANY STOCK,KSUNECREGREG-137,KSUNECREGREG-137-1,"22,YELLOW",SNEC40988,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,VINATI JEWELLERS,,1,51.645,51.645,47.5134,0,,0,0,0,0,250,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,82.65232259,AG-22KT-YELLOW,0,51.645,0,160615.95,,
COMPANY STOCK,KSUERNSTDREG-19,KSUERNSTDREG-19-1,"22,YELLOW",SERN25535,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,MACALUCKSHMI JEWELLERS,,1,3.74,3.658,3.36536,0,,0,0,0,0,0,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,1166.916129,AG-22KT-YELLOW,0,3.658,0,11507.79365,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,4,0.41,3658.536585,615,,
COMPANY STOCK,CBTCHNREGREG-515,CBTCHNREGREG-515-1,"22,YELLOW",SCHN28012,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,MACALUCKSHMI JEWELLERS,,1,12.461,12.461,11.46412,0,,0,0,0,0,0,16
,,,,,,FG-HIMSHW,,,,0,0,0,0,336.7490892,AG-22KT-YELLOW,1,12.461,0,39201.37143,,
COMPANY STOCK,PLNMSRREG2LN-58,PLNMSRREG2LN-58-1,"22,YELLOW",SMSR9006,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Singar Santosh R,,1,7.98,6.87,6.3204,0,,0,0,0,0,150,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,BLBMIXMIXMIXMIX,346,5.55,9.009009009,55.5,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,621.3361281,AG-22KT-YELLOW,0,6.87,0,18961.2,,
COMPANY STOCK,TMCCKRREGREG-160,TMCCKRREGREG-160-1,"22,YELLOW",SCKR12340,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,Jai Gulab Dev Jewellers,,1,71.5,69.44,63.8848,0,,0,0,0,0,250,18
,,,,,,FG-HIMSHW,,,,0,0,0,0,61.47147465,AG-22KT-YELLOW,0,69.44,0,191654.4,,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,RBPMIXMIXREDMIX,80,10.3,145.631068,1030,,
