stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
COMPANY STOCK,PLTRNGREGREG-15,PLTRNGREGREG-15-1,"95.00,WHITE",SRNG11183,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Shree Yash Jewellers,,1,10.62,10.588,10.0586,0,,0,0,0,0,1500,18
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,10.588,0,37058,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEF0.135 TO 0.175(IV),1,0.16,88000,10160,0,
COMPANY STOCK,CLSNSPREGFDI-70,CLSNSPREGFDI-70-1,"22,YELLOW",CNSP22880,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SU-GAN JEWELLERY (87),,1,0.6,0.58,0.5336,0,,0,0,0,0,500,18
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-22-YELLOW,0,0.58,0,1869.7025,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEF0.085 TO 0.125(III),1,0.1,78000,7200,0,
COMPANY STOCK,OPNPNDTLMREG-1768,OPNPNDTLMREG-1768-1,"18,YELLOW",CPND22858,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,SUKUMAR MONDAL (14),,1,10.72,10.13,7.6988,0,,0,0,0,0,550,18
,,,,,,FG-BHSHW,,,,0,0,0,0,0,MeleRNDVVSEFBELOW 01 CT,2,0.13,59500,0.13,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,10.13,0,29216.946,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,ONXMIXMIXMIXMIX,1,0.38,1500,570,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,OTHMIXMIXMIXMIX,1,0.46,1500,690,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,OTHMIXMIXMIXMIX,1,0.36,1500,540,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEF0.085 TO 0.125(III),2,0.21,78000,0.21,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEF01.01-2CT,132,1.41,59500,83895,0,
COMPANY STOCK,REGMSCREGREG-15,REGMSCREGREG-15-1,"18,YELLOW",SMSC37433,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,KALYAN SUKUMAR KAR (121),,1,1.51,0.406,0.30856,0,,0,0,0,0,650,18
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,0.406,0,1054.34952,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEFMIX,2,0.02,59500,1190,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,SSPMIXMIXMIXMIX,1,5.5,350,4675,0,
