stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
FMRSLTVVSEF0.50 TO 0.69,Solitaire Diamond,Mix,VVS,EF,0.50 TO 0.69,0,0
SLTBAGVVSEF0.30 TO 0.39 (VII),Solitaire Diamond,Baguette,VVS,EF,0.30 TO 0.39 (VII),0,0
SLTFANVS  SIFG0.50 TO 0.69 (IX),Solitaire Diamond,Fancy,VS_SI,FG,0.50 TO 0.69 (IX),0,0
SLTFANVS-SIG0.30 TO 0.39 (VII),Solitaire Diamond,Fancy,VS_SI,G,0.30 TO 0.39 (VII),0,0
SLTFANVS-SIG0.70 TO 0.99,Solitaire Diamond,Fancy,VS_SI,G,0.70 TO 0.99,0,0
SLTFANVS-SIG1.00 ABOVE,Solitaire Diamond,Fancy,VS_SI,G,1.00 ABOVE,0,0
SLTFANVVS-VSGH0.30 TO 0.39,Solitaire Diamond,Fancy,VVS_VS,GH,0.30 TO 0.39,0,0
SLTFANVVS-VSGH0.40 TO 0.49,Solitaire Diamond,Fancy,VVS_VS,GH,0.40 TO 0.49,0,0
SLTFANVVS-VSGH0.50 TO 0.69,Solitaire Diamond,Fancy,VVS_VS,GH,0.50 TO 0.69,0,0
SLTFANVVS-VSGH0.70 TO 0.99,Solitaire Diamond,Fancy,VVS_VS,GH,0.70 TO 0.99,0,0
SLTFANVVS-VSGHI0.70 TO 0.99,Solitaire Diamond,Fancy,VVS_VS,GH,0.70 TO 0.99,0,0
SLTFANVVS-VSGHI0.70 TO 0.99(X),Solitaire Diamond,Fancy,VVS_VS,GH,0.70 TO 0.99(X),0,0
SLTFMRVS1F0.50 to 0.69 (IX),Forevermark Solitaire,Mix,VS1,F,0.50 to 0.69 (IX),0,0
SLTFMRVVS1E0.40 to 0.49 (VIII),Forevermark Solitaire,Mix,VVS1,E,0.40 TO 0.49 (VIII),0,0
SLTFMRVVS1E0.50 to 0.69 (IX),Forevermark Solitaire,Mix,VVS 1 ,E,0.50 TO 0.69 (IX),0,0
SLTFMRVVS1G1.00 TO 1.49,Forevermark Solitaire,Mix,VVS1,G,1.00 TO 1.49,0,0
SLTFMRVVSEF0.30 TO 0.39(VII),Forevermark Solitaire,Mix,VVS,EF,0.30 TO 0.39(VII),0,0
SLTFNYMIXMIX  0.70 TO 0.99(X),Solitaire Diamond,Fancy,Mix,Mix,  0.70 TO 0.99(X),0,0
SLTFNYVVSGH  0.30 TO 0.39(VII),Solitaire Diamond,Fancy,VVS,GH,  0.30 TO 0.39(VII),0,0
SLTFNYVVSGH  0.40 TO 0.49(VIII),Solitaire Diamond,Fancy,VVS,GH,  0.40 TO 0.49(VIII),0,0
SLTMAQVVSEF0.30 TO 0.39,Solitaire Diamond,Marquise,VVS,EF,0.30 TO 0.39,0,0
SLTMAQVVS-VSGH0.30 TO 0.39,Solitaire Diamond,Marquise,VVS_VS,GH,0.30 TO 0.39,0,0
SLTMAQVVS-VSGHI0.30 TO 0.39,Solitaire Diamond,Marquise,VVS_VS,GH,0.30 TO 0.39,0,0
SLTMAQVVS-VSGHI0.40 TO 0.49,Solitaire Diamond,Marquise,VVS_VS,GH,0.40 TO 0.49,0,0
SLTMRQVVS-VSGH0.75 TO 0.80,Solitaire Diamond,Marquise,VVS_VS,GH,0.75 TO 0.80,0,0
SLTPEAVS - SIIJ0.30 TO 0.39 (VII),Solitaire Diamond,Pear,VS_SI,IJ,0.30 TO 0.39 (VII),0,0
SLTPEAVS-SIFGH0.30 TO 0.39,Solitaire Diamond,Pear,VS_SI,FGH,0.30 TO 0.39,0,0
SLTPEAVS-SIFGH0.30 TO 0.39(VII),Solitaire Diamond,Pear,VS_SI,FGH,0.30 TO 0.39 (VII),0,0
SLTPEAVS-SIIJ0.30 TO 0.39,Solitaire Diamond,Pear,VS_SI,IJ,0.30 TO 0.39,0,0
SLTPEAVVS - VSGH0.30 TO 0.39,Solitaire Diamond,Pear,VVS_VS,GH,0.30 TO 0.39,0,0
SLTPEAVVS - VSGH0.50 TO 0.69,Solitaire Diamond,Pear,VVS_VS,GH,0.50 TO 0.69,0,0
SLTPEAVVS - VSGH0.70 TO 0.99,Solitaire Diamond,Pear,VVS_VS,GH,0.70 TO 0.99,0,0
SLTPEAVVSGH0.30 TO 0.39,Solitaire Diamond,Pear,VVS,GH,0.30 TO 0.39,0,0
SLTPEAVVSGH0.40 TO 0.49,Solitaire Diamond,Pear,VVS,GH,0.40 TO 0.49,0,0
SLTPEAVVS-VSGH0.30 TO 0.39,Solitaire Diamond,Pear,VVS_VS,GH,0.30 TO 0.39,0,0
SLTPEAVVS-VSGH0.40 TO 0.49,Solitaire Diamond,Pear,VVS_VS,GH,0.40 TO 0.49,0,0
SLTPEAVVS-VSGH0.50 TO 0.69,Solitaire Diamond,Pear,VVS_VS,GH,0.50 TO 0.69,0,0
SLTPRIVVS-VSGH 0.70 TO 0.99,Solitaire Diamond,Princess,VVS_VS,GH,0.70 TO 0.99,0,0
SLTPRIVVS-VSGH0.30 TO 0.39,Solitaire Diamond,Princess,VVS_VS,GH,0.30 TO 0.39,0,0
